English,Kannada,English Pronunciation
hello,ಹಲೋ,halō
thank you,ಧನ್ಯವಾದಗಳು,dhanyavādagalu
yes,ಹೌದು,haudu
no,ಇಲ್ಲ,illa
please,ದಯವಿಟ್ಟು,dayaviṭṭu
sorry,ಕ್ಷಮಿಸಿ,kṣamisi
goodbye,ವಿದಾಯ,vidāya
man,ಗಂಡು,gaṇḍu
woman,ಹೆಣ್ಣು,heṇṇu
child,ಮಗು,magu
friend,ಸ್ನೇಹಿತ,snehita
love,ಪ್ರೇಮ,prēma
house,ಮನೆ,mane
food,ಆಹಾರ,āhāra
water,ನೀರು,nīru
name,ಹೆಸರು,hesaru
happy,ಸಂತೋಷ,santōṣa
sad,ದುಃಖ,duḥkha
father,ತಂದೆ,tande
mother,ತಾಯಿ,tāyi
brother,ಅಣ್ಣ,aṇṇa
sister,ತಂಗಿ,tangi
cat,ಬೆಕ್ಕು,bekku
dog,ನಾಯಿ,nāyi
elephant,ಆನೆ,āne
car,ಕಾರು,kāru
train,ರೈಲು,railu
bus,ಬಸ್,bas
teacher,ಶಿಕ್ಷಕ,śikṣaka
student,ವಿದ್ಯಾರ್ಥಿ,vidyārthi
school,ಶಾಲೆ,śāle
market,ಮಾರುಕಟ್ಟೆ,mārukaṭṭe
money,ಹಣ,haṇa
morning,ಬೆಳಗ್ಗೆ,beḷagge
night,ರಾತ್ರಿ,rātri
day,ದಿನ,dina
yesterday,ನಿನ್ನೆ,ninne
today,ಇಂದು,indu
tomorrow,ನಾಳೆ,nāḷe
one,ಒಂದು,ondu
two,ಎರಡು,eraḍu
three,ಮೂರು,mūru
four,ನಾಲ್ಕು,nālku
five,ಐದು,aidu
six,ಆರು,āru
seven,ಏಳು,ēḷu
eight,ಎಂಟು,eṇṭu
nine,ಒಂಭತ್ತು,ombhattu
ten,ಹತ್ತು,hattu
big,ದೊಡ್ಡ,doḍḍa
small,ಚಿಕ್ಕ,cikka
hot,ಬಿಸಿ,bisi
cold,ಚಳಿ,caḷi
fast,ವೇಗ,vēga
slow,ನೀವು,nīvu
up,ಮೇಲೆ,mēle
down,ಕೆಳಗೆ,keḷage
left,ಎಡ,eḍa
right,ಬಲ,bala
near,ಹತ್ತಿರ,hattira
far,ದೂರ,dūra
inside,ಒಳಗೆ,oḷage
outside,ಹೊರಗೆ,horage
beautiful,ಸುಂದರ,sundara
ugly,ಕಳಪೆ,kaḷape
happy,ಹರ್ಷ,harṣa
angry,ಕೋಪ,kōpa
good,ಚೆನ್ನಾಗಿದೆ,cennāgide
bad,ಕೆಟ್ಟ,keṭṭa
new,ಹೊಸ,hosa
old,ಹಳೆಯ,haḷeya
big,ದೊಡ್ಡ,doḍḍa
small,ಚಿಕ್ಕ,cikka
hot,ಬಿಸಿ,bisi
cold,ಚಳಿ,caḷi
father,ತಂದೆ,tande
mother,ತಾಯಿ,tāyi
happy,ಹರ್ಷ,harṣa
angry,ಕೋಪ,kōpa
good,ಚೆನ್ನಾಗಿದೆ,cennāgide
bad,ಕೆಟ್ಟ,keṭṭa
come,ಬಾ,bā
go,ಹೋಗು,hōgu
sit,ಕುಳಿತುಕೊಳ್ಳಿ,kuḷitukoḷḷi
stand,ನಿಲ್ಲಿ,nilli
eat,ತಿನ್ನು,tinnu
drink,ಕುಡಿಯು,kuḍiyu
sleep,ನಿದ್ರೆ,nidre
walk,ನಡೆ,naḍe
run,ಓಡು,ōḍu
stop,ನಿಲ್ಲಿಸು,nillisu
